channel,channel_id,p_in_ref,p_min,p_max,u_min,u_max,v_min,v_max,valid_cell_centers,n_cells,lower_wall_zone,upper_wall_zone,inlet_zone,outlet_zone
channel_104,104,1609.5811251126258,-9.919813760493046,4517.686900218254,0.00765058995839742,1.5649433609494299,-0.27821359350546776,0.2939939402003857,228860,228860,1,3,4,2
channel_105,105,1590.7307626681313,-33.153575947978034,4453.29421711394,0.009892552331727039,1.567825868892904,-0.2699251386202289,0.266919872165408,228364,228364,1,3,4,2
channel_106,106,1670.8046741711566,-25.41999991436104,5781.926539305778,0.005579808592542684,1.6053592060075574,-0.3835956677820076,0.38419396194955563,224240,224240,1,3,4,2
channel_107,107,1560.3222362628617,-26.18350367720099,4703.342567297993,0.008406417632319309,1.559969955996847,-0.2969206313719476,0.2973869808242665,229280,229280,1,3,4,2
channel_108,108,1630.0373807102817,-23.43816639667808,5035.697597150451,0.002876106374511311,1.5726207638117073,-0.3342709170616774,0.33275615294610156,227818,227818,1,3,4,2
channel_109,109,1556.4986271457144,-24.03803517951768,4796.314267744619,0.008205096433618239,1.5300241365337668,-0.2990692838213848,0.3135384542934781,231786,231786,1,3,4,2
channel_110,110,1611.484877687763,-31.42756548138064,4751.959390559195,0.011567109373232135,1.5679494862954224,-0.29714895818524234,0.3015642190117378,226924,226924,1,3,4,2
channel_111,111,1553.0349390504873,-22.241914186414416,4740.020867669579,0.0073922229714930105,1.5576867219490036,-0.3022064724624815,0.29774352730205833,233510,233510,1,3,4,2
channel_112,112,1476.1681044385953,-30.07511496360922,4051.1310915468266,0.012156745795439395,1.5093967116103275,-0.235548112541132,0.23569583510220019,235678,235678,1,3,4,2
channel_113,113,1656.0933809145101,-34.34417048899842,4529.801627767492,0.006713520395853952,1.5699163947941268,-0.26991244020854244,0.2811061961246274,228682,228682,1,3,4,2
channel_114,114,1642.778937317619,-35.469318534565026,4464.715957255511,0.010202623214718657,1.5819201662990496,-0.26278760625887243,0.26837536480989477,225708,225708,1,3,4,2
channel_115,115,1537.4697576023475,-25.758735397024033,4394.346099690043,0.008486390341204512,1.5212063068736614,-0.27933159027579074,0.28060126900405896,231384,231384,1,3,4,2
channel_116,116,1418.8247720336556,-27.42119690911392,4500.083816438655,0.007630087409839573,1.487178785683876,-0.2891331078002829,0.2890116626425801,238062,238062,1,3,4,2
channel_117,117,1486.3262911593213,-28.60949673056622,4818.176262292424,0.005921288038088667,1.5265521902617918,-0.3280715384994026,0.32705234417915496,234538,234538,1,3,4,2
channel_118,118,1513.5543041073074,-23.256410916530516,4636.272677229508,0.010657356424353039,1.5757113901248665,-0.29444492911694825,0.2989809510119188,235826,235826,1,3,4,2
channel_119,119,1464.4574037900363,-32.45232021935657,4894.983147376036,0.009132018185343233,1.4906374269999159,-0.3165904127350935,0.3183215739051212,234900,234900,1,3,4,2
channel_120,120,1558.6889424240433,-40.18666572510434,4357.486929731336,0.005412768211501777,1.5430421648234665,-0.26527356944997543,0.271806823244656,229628,229628,1,3,4,2
channel_121,121,1687.6530399422686,-43.23074790715337,5083.219757571506,0.006033434094874546,1.634961614175545,-0.3246166794420589,0.32373659370965174,225390,225390,1,3,4,2
channel_122,122,1614.2333101472552,-23.55790050558902,4857.406830616559,0.008851340951735766,1.5494678683092904,-0.3093205942060769,0.29963981193019457,229658,229658,1,3,4,2
channel_123,123,1559.660839936697,-31.23544291100032,4972.405403143249,0.005807464162761225,1.5713849012479728,-0.3265786047698001,0.3253384865138523,230522,230522,1,3,4,2
channel_124,124,1677.1191029099857,-21.982801354757783,5137.282104565079,0.009000201944807459,1.5516759759057772,-0.3311534010313506,0.3407656389271923,225510,225510,1,3,4,2
channel_125,125,1462.8099786190094,-28.94150929852795,4527.374405935231,0.006962207918653457,1.4972604176288122,-0.29257737229445174,0.293677482154661,234868,234868,1,3,4,2
channel_126,126,1673.6672505416757,-77.80749673333521,4216.887933195466,0.0034445530414512174,1.5887327118601773,-0.23657772592260568,0.23515197590092035,224556,224556,1,3,4,2
channel_127,127,1575.2534682677688,-40.10010213937039,4690.037459170011,0.006464274729087529,1.5931610391892859,-0.29572531221381093,0.3063693185684642,228412,228412,1,3,4,2
channel_128,128,1692.7196823731733,-23.260049605785316,4985.351936756065,0.006834038932579956,1.5759802616014478,-0.31821200165495594,0.3123052507224447,226226,226226,1,3,4,2
channel_129,129,1410.2384269680513,-25.826307817883745,4188.742809415669,0.008275762519060089,1.4920039407027703,-0.26134524216764005,0.26293488642122853,239278,239278,1,3,4,2
channel_130,130,1546.6972419965684,-24.840432846108612,5262.482270061476,0.007685462324259603,1.559607124465157,-0.34891385203670716,0.3265252038561235,231262,231262,1,3,4,2
channel_131,131,1513.8930159196013,-22.03975468940111,4473.314130195034,0.010248857675532734,1.5846601669371907,-0.2822872796367785,0.27759736092024245,237002,237002,1,3,4,2
channel_132,132,1537.756921139023,-30.326221534639092,4563.308980272112,0.008461665200018927,1.6024069785060626,-0.2857472568464032,0.28536270899518623,231324,231324,1,3,4,2
channel_133,133,1501.6232746667706,-32.990158278035246,4698.623099722095,0.005063036093069691,1.5141636214936136,-0.30415702328340555,0.3039293042120834,233568,233568,1,3,4,2
channel_134,134,1523.4297158007291,-24.089203666714294,4465.99055255611,0.00553934279448378,1.5748562279427174,-0.285495489996891,0.28882005351612716,234342,234342,1,3,4,2
channel_135,135,1461.526342367067,-32.182758890080834,4946.1224778914175,0.005511137822551678,1.4787529172143652,-0.30571684995463383,0.33048421344538415,235860,235860,1,3,4,2
channel_136,136,1498.7163783475755,-20.55029533627518,4586.03475811462,0.009101543318627385,1.5576982330412614,-0.2957255994324616,0.3031762627595248,237360,237360,1,3,4,2
channel_137,137,1733.3061188773854,-23.744263878228924,4880.900550955593,0.004057229326979017,1.6113293098289103,-0.30251863052378253,0.2926385113098338,222386,222386,1,3,4,2
channel_138,138,1590.6982182669155,-24.83740741295881,4464.849739001303,0.009335303099357761,1.5480006459423004,-0.2841693760962018,0.28084328724297897,228950,228950,1,3,4,2
channel_139,139,1627.763813313486,-99.47833926215634,5161.328357453217,0.0015894117284207586,1.567770247693278,-0.32970580433255675,0.3315719211452861,228300,228300,1,3,4,2
channel_140,140,1633.4431076624094,-24.296360791456483,5080.786263029114,0.008728860715017044,1.6137903620419192,-0.3292168647189015,0.3274042524091913,227486,227486,1,3,4,2
channel_141,141,1600.9287230469113,-19.510382281972227,4190.962088291894,0.00894972351782462,1.593136948972273,-0.23742750650055108,0.23725014618170426,231436,231436,1,3,4,2
channel_142,142,1597.714632492944,-30.71420262987654,5176.647086640981,0.0059894984889982995,1.5688249020824356,-0.2921354361458879,0.3159057786441819,227778,227778,1,3,4,2
channel_143,143,1535.715967983127,-28.3942596535968,5880.228737158499,0.004252954509322837,1.5636261953962216,-0.40133883432007156,0.4072812807956948,232076,232076,1,3,4,2
channel_144,144,1583.994430159805,-26.720515113471862,4526.182425596096,0.00876984579279421,1.5706310607710183,-0.29412527540652467,0.2871622949366573,232122,232122,1,3,4,2
channel_145,145,1643.9082567764376,-27.777367771583517,4659.759695137105,0.0064830716957157775,1.600705537306822,-0.2846014824688274,0.2819181797409363,226618,226618,1,3,4,2
channel_146,146,1471.135419768323,-27.282349722507554,6051.911837473764,0.011625292748893195,1.5439456519531882,-0.42879861466491515,0.4297133532547711,235294,235294,1,3,4,2
channel_147,147,1578.9969357529992,-23.745885014132497,4599.395699406915,0.00547254866812102,1.5549467931820542,-0.2926936416677288,0.2906318659802366,229330,229330,1,3,4,2
channel_148,148,1560.7751968797402,-28.19638360433585,4778.618348898111,0.01160041696815207,1.5388666599757077,-0.3028002605600726,0.3070293663081254,231718,231718,1,3,4,2
channel_149,149,1633.5645567132465,-25.601888173630243,5856.240582921388,0.008618807005409339,1.600188970245895,-0.3675429793676187,0.3519200330672675,231168,231168,1,3,4,2
channel_150,150,1502.2315533613764,-28.562183752165915,5319.201556672723,0.009211421866231733,1.5678662078099672,-0.35381551744198386,0.33201466137277036,233440,233440,1,3,4,2
channel_151,151,1465.0230741365444,-26.543467786065868,4486.152879743101,0.007197522629264127,1.4892495294196435,-0.2917352694058964,0.2851150109721788,235468,235468,1,3,4,2
