2026-07-24 13:31:53 - transient_deeponet - INFO - Training comment
2026-07-24 13:31:53 - transient_deeponet - INFO - Cylinder transient data; complete 100-step trajectory per x-strip sample
2026-07-24 13:31:53 - transient_deeponet - INFO - Output directory: /home/hantianl/Documents/PIDIF/DeepONet/results/transient_072426_1
2026-07-24 15:50:50 - transient_deeponet - INFO - Epoch 0580 | data loss=1.110e-02 | bc loss=0.000e+00 | valid MSE=4.422e+02 | valid rel L2=6.404e-02 | pressure=2.948e-02, u=2.728e-02, v=1.526e-01 | Time: 2:18:49.296955
2026-07-24 15:53:17 - transient_deeponet - INFO - Epoch 0590 | data loss=1.174e-02 | bc loss=0.000e+00 | valid MSE=9.687e+02 | valid rel L2=1.640e-01 | pressure=4.364e-02, u=2.834e-02, v=1.490e-01 | Time: 2:21:16.353121
2026-07-24 15:55:36 - transient_deeponet - INFO - Epoch 0600 | data loss=1.060e-02 | bc loss=0.000e+00 | valid MSE=4.582e+02 | valid rel L2=1.271e-01 | pressure=3.001e-02, u=2.679e-02, v=1.473e-01 | Time: 2:23:35.047830
2026-07-24 15:58:01 - transient_deeponet - INFO - Epoch 0610 | data loss=9.468e-03 | bc loss=0.000e+00 | valid MSE=4.131e+02 | valid rel L2=4.517e-02 | pressure=2.850e-02, u=2.668e-02, v=1.512e-01 | Time: 2:26:00.501782
2026-07-24 16:00:13 - transient_deeponet - INFO - Epoch 0620 | data loss=9.518e-03 | bc loss=0.000e+00 | valid MSE=4.023e+02 | valid rel L2=4.749e-02 | pressure=2.812e-02, u=2.492e-02, v=1.435e-01 | Time: 2:28:12.768813
2026-07-24 16:02:30 - transient_deeponet - INFO - Epoch 0630 | data loss=9.422e-03 | bc loss=0.000e+00 | valid MSE=3.750e+02 | valid rel L2=4.258e-02 | pressure=2.715e-02, u=2.648e-02, v=1.501e-01 | Time: 2:30:29.124611
2026-07-24 16:04:38 - transient_deeponet - INFO - Epoch 0640 | data loss=9.847e-03 | bc loss=0.000e+00 | valid MSE=4.292e+02 | valid rel L2=8.870e-02 | pressure=2.905e-02, u=2.531e-02, v=1.409e-01 | Time: 2:32:37.565686
2026-07-24 16:06:54 - transient_deeponet - INFO - Epoch 0650 | data loss=9.621e-03 | bc loss=0.000e+00 | valid MSE=4.381e+02 | valid rel L2=5.697e-02 | pressure=2.935e-02, u=2.938e-02, v=1.500e-01 | Time: 2:34:53.708213
2026-07-24 16:09:16 - transient_deeponet - INFO - Epoch 0660 | data loss=8.662e-03 | bc loss=0.000e+00 | valid MSE=4.204e+02 | valid rel L2=8.745e-02 | pressure=2.875e-02, u=2.476e-02, v=1.370e-01 | Time: 2:37:15.581641
2026-07-24 16:11:38 - transient_deeponet - INFO - Epoch 0670 | data loss=8.791e-03 | bc loss=0.000e+00 | valid MSE=3.517e+02 | valid rel L2=4.757e-02 | pressure=2.630e-02, u=2.534e-02, v=1.424e-01 | Time: 2:39:37.070372
